No,Chinese,Pinyin,English
133,感觉,gǎnjué,feel
134,感情,gǎnqíng,feeling
135,感谢,gǎnxiè,Thank
136,干,gān,dry
137,刚,gāng,just
138,高速公路,gāosùgōnglù,Expressway
139,胳膊,gēbo,Arm
140,各,gè,various
141,公里,gōnglǐ,kilometre
142,工资,gōngzī,wages
143,功夫,gōngfu,Kungfu
144,共同,gòngtóng,common
145,够,gòu,enough
146,购物,gòuwù,Shopping
147,估计,gūjì,estimate
148,鼓励,gǔlì,encourage
149,顾客,gùkè,customer
150,故意,gùyì,deliberately
151,挂,guà,hang
152,关键,guānjiàn,key
153,观众,guānzhòng,Audience
154,管理,guǎnlǐ,Administration
155,光,guāng,light
156,广播,guǎngbō,Radio broadcast
157,广告,guǎnggào,Advertisement
158,逛,guàng,Stroll
159,规定,guīdìng,Regulations
160,国际,guójì,international
161,国籍,guójí,nationality
162,果汁,guǒzhī,fruit juice
163,过程,guòchéng,process
164,海洋,hǎiyáng,ocean
165,害羞,hàixiū,Shy
166,寒假,hánjià,The winter vacation
167,汗,hàn,sweat
168,航班,hángbān,flight
169,好处,hǎochù,benefit
170,好像,hǎoxiàng,"Be like, seem"
171,号码,hàomǎ,number
172,合格,hégé,qualified
173,合适,héshì,appropriate
174,盒子,hézi,Box
175,厚,hòu,thick
176,后悔,hòuhuǐ,regret
177,护士,hùshi,Nurse
178,互联网,hùliánwǎng,Internet
179,互相,hùxiāng,each other
180,怀疑,huáiyí,doubt
181,回忆,huíyì,Memory
182,活动,huódòng,activity
183,活泼,huópō,lively
184,火,huǒ,fire
185,获得,huòdé,Get
186,基础,jīchǔ,Basics
187,激动,jīdòng,Excited
188,积极,jījí,positive
189,积累,jīlěi,accumulation
190,及时,jíshí,timely
191,即使,jíshǐ,even if
192,寄,jì,send
193,记者,jìzhě,Reporter
194,计划,jìhuà,plan
195,既然,jìrán,although
196,技术,jìshù,technology
197,继续,jìxù,Continue
198,家具,jiājù,furniture
199,加班,jiābān,overtime work
200,加油站,jiāyóuzhàn,Gas station
201,假,jiǎ,FALSE
202,价格,jiàgé,Price
203,坚持,jiānchí,Insist
204,减肥,jiǎnféi,Reduce weight
205,减少,jiǎnshǎo,reduce
206,建议,jiànyì,proposal
207,将来,jiānglái,future
208,奖金,jiǎngjīn,bonus
209,降低,jiàngdī,reduce
210,降落,jiàngluò,land
211,交,jiāo,hand over
212,交流,jiāoliú,Communication
213,交通,jiāotōng,traffic
214,郊区,jiāoqū,Suburb
215,骄傲,jiāo’ào,Proud
216,饺子,jiǎozi,Dumplings
217,教授,jiàoshòu,professor
218,教育,jiàoyù,education
219,接受,jiēshòu,accept
220,接着,jiēzhe,Next
221,结果,jiéguǒ,Result
222,节,jié,"section, festival"
223,节约,jiéyuē,save
224,解释,jiěshì,explain
225,尽管,jǐnguǎn,although
226,紧张,jǐnzhāng,Nervous
227,进行,jìnxíng,in process of
228,禁止,jìnzhǐ,prohibit
229,精彩,jīngcǎi,Marvellous
230,经济,jīngjì,Economics
231,经历,jīnglì,experience
232,经验,jīngyàn,experience
233,京剧,jīngjù,Beijing opera
234,警察,jǐngchá,Policeman
235,景色,jǐngsè,scenery
236,竟然,jìngrán,Unexpectedly
237,竞争,jìngzhēng,compete
238,镜子,jìngzi,Mirror
239,究竟,jiūjìng,exactly
240,举,jǔ,lift
241,举办,jǔbàn,hold
242,举行,jǔxíng,hold
243,拒绝,jùjué,refuse
244,距离,jùlí,distance
245,聚会,jùhuì,Party
246,开玩笑,kāiwánxiào,Make fun of
247,开心,kāixīn,Happy
248,看法,kànfǎ,view
249,考虑,kǎolǜ,Consider
250,烤鸭,kǎoyā,Roasted Duck
251,棵,kē,Tree (measure word)
252,科学,kēxué,science
253,咳嗽,késou,cough
254,可怜,kělián,Poor
255,可是,kěshì,however
256,可惜,kěxī,unfortunately
257,客厅,kètīng,A living room
258,肯定,kěndìng,sure
259,空,kōng,empty
260,空气,kōngqì,air
261,恐怕,kǒngpà,I’m afraid
262,苦,kǔ,bitter
263,矿泉水,kuàngquánshuǐ,Mineral water
264,困,kùn,sleepy
265,困难,kùnnan,difficulty
266,拉,lā,pull
267,垃圾桶,lājītǒng,Trash
268,辣,là,spicy
269,来自,láizì,Come from
270,来不及,láibují,There’s not enough time
271,来得及,láidejí,In time
272,懒,lǎn,lazy
273,浪费,làngfèi,Waste
274,浪漫,làngmàn,romantic
275,老虎,lǎohǔ,Tiger
276,冷静,lěngjìng,calm down
277,理发,lǐfà,Haircut
278,理解,lǐjiě,Understand
279,理想,lǐxiǎng,ideal
280,礼貌,lǐmào,politeness
281,礼拜天,lǐbàitiān,Sunday
282,厉害,lìhai,Fierce
283,力气,lìqi,Strength
284,例如,lìrú,for example
285,俩,liǎ,Two
286,连,lián,even
287,联系,liánxì,contact
288,凉快,liángkuai,Pleasantly cool
289,零钱,língqián,Small change
290,另外,lìngwài,in addition
291,留,liú,stay
292,流利,liúlì,fluent
293,流行,liúxíng,Popular
294,乱,luàn,chaos
295,旅行,lǚxíng,travel
296,律师,lǜshī,Lawyer
297,麻烦,máfan,trouble
298,马虎,mǎhu,Careless
299,满,mǎn,full
300,毛,máo,hair
301,毛巾,máojīn,Towel
302,美丽,měilì,beautiful
303,梦,mèng,dream
304,迷路,mílù,Get lost
305,密码,mìmǎ,Password
306,免费,miǎnfèi,Free of charge
307,秒,miǎo,second
308,民族,mínzú,Nation
309,母亲,mǔqīn,mother
310,目的,mùdì,objective
311,耐心,nàixīn,patience
312,难道,nándào,could it be said that …
313,难受,nánshòu,Uncomfortable
314,内,nèi,within
315,内容,nèiróng,content
316,能力,nénglì,ability
317,年龄,niánlíng,Age
318,弄,nòng,"get, make"
319,暖和,nuǎnhuo,warm
320,偶尔,ǒu’ěr,occasionally
321,排队,páiduì,queue; stand in a line
322,排列,páiliè,array
323,判断,pànduàn,judge
324,陪,péi,accompany
325,批评,pīpíng,criticism
326,皮肤,pífū,skin
327,脾气,píqi,Bad temper
328,篇,piān,piece
329,骗,piàn,fool
330,乒乓球,pīngpāngqiú,Table Tennis
331,平时,píngshí,peacetime
332,破,pò,broken
333,葡萄,pútao,Grape
334,普遍,pǔbiàn,universal
335,普通话,pǔtōnghuà,Mandarin
336,其次,qícì,Secondly
337,其中,qízhōng,among
338,气候,qìhòu,climate
339,千万,qiānwàn,Must
340,签证,qiānzhèng,visa
341,敲,qiāo,knock
342,桥,qiáo,Bridge
343,巧克力,qiǎokèlì,Chocolates
344,亲戚,qīnqi,Relative
345,轻,qīng,light
346,轻松,qīngsōng,Relaxed
347,情况,qíngkuàng,Situation
348,穷,qióng,poor
349,区别,qūbié,Difference
350,取,qǔ,take
351,全部,quánbù,whole
352,缺点,quēdiǎn,shortcoming
353,缺少,quēshǎo,Lack
354,却,què,but
355,确实,quèshí,Exactly
356,然而,rán’ér,however
357,热闹,rènao,lively
358,任何,rènhé,"whatever, any"
359,任务,rènwu,task
360,扔,rēng,throw
361,仍然,réngrán,still
362,日记,rìjì,diary
363,入口,rùkǒu,Entrance
364,散步,sànbù,Take a walk
365,森林,sēnlín,Forest
366,沙发,shāfā,Sofa
367,商量,shāngliang,discuss
368,伤心,shāngxīn,Sad
369,稍微,shāowēi,slightly
370,勺子,sháozi,Spoon
371,社会,shèhuì,Sociology
372,深,shēn,deep
373,申请,shēnqǐng,Apply
374,甚至,shènzhì,Even to the extent that
375,生活,shēnghuó,Life
376,生命,shēngmìng,life
377,生意,shēngyi,business
378,省,shěng,province
379,剩,shèng,Left
380,失败,shībài,fail
381,失望,shīwàng,Disappointment
382,师傅,shīfu,Master worker
383,十分,shífēn,very
384,实际,shíjì,Actual
385,实在,shízài,really
386,使,shǐ,make
387,使用,shǐyòng,Use
388,是否,shìfǒu,Whether
389,适合,shìhé,Fit
390,适应,shìyìng,Adapt
391,世纪,shìjì,century
392,收,shōu,collect
393,收入,shōurù,income
394,收拾,shōushi,Tidy
395,首都,shǒudū,capital
396,首先,shǒuxiān,First
397,受不了,shòubuliǎo,Cannot bear sth
398,受到,shòudào,Suffer
399,售货员,shòuhuòyuán,Salesperson
400,输,shū,"lose, fail"
401,熟悉,shúxī,be familiar with
402,数量,shùliàng,Number
403,数字,shùzì,number
404,帅,shuài,Handsome
405,顺便,shùnbiàn,Incidentally
406,顺利,shùnlì,smoothly
407,顺序,shùnxù,order
408,说明,shuōmíng,Explain
409,硕士,shuòshì,master
410,死,sǐ,die
411,速度,sùdù,speed
412,塑料袋,sùliàodài,Plastic bag
413,酸,suān,acid
414,随便,suíbiàn,casual
415,随着,suízhe,along with
416,孙子,sūnzi,Grandson
417,所有,suǒyǒu,All
418,台,tái,platform
419,抬,tái,Lift
420,态度,tàidu,attitude
421,谈,tán,talk
422,弹钢琴,tángāngqín,Play the piano
423,汤,tāng,soup
424,糖,táng,sugar
425,躺,tǎng,lie
426,趟,tàng,Trip
427,讨论,tǎolùn,discuss
428,讨厌,tǎoyàn,Hate
429,特点,tèdiǎn,Characteristic
430,提,tí,carry
431,提供,tígōng,provide
432,提前,tíqián,in advance
433,提醒,tíxǐng,remind
434,填空,tiánkòng,Fill in the blanks
435,条件,tiáojiàn,condition
436,停,tíng,Stop
437,挺,tǐng,quite
438,通过,tōngguò,through
439,通知,tōngzhī,notice
440,同时,tóngshí,meanwhile
441,同情,tóngqíng,Sympathy
442,推,tuī,push
443,推迟,tuīchí,delay
444,脱,tuō,take off
445,袜子,wàzi,Socks
446,完全,wánquán,completely
447,往往,wǎngwǎng,Often
448,网球,wǎngqiú,Tennis
449,网站,wǎngzhàn,website
450,危险,wēixiǎn,danger
451,味道,wèidào,taste
452,卫生间,wèishēngjiān,toilet
453,温度,wēndù,temperature
454,文章,wénzhāng,Article
455,污染,wūrǎn,contaminated
456,无,wú,nothing
457,无聊,wúliáo,Boring
458,无论,wúlùn,no matter what
459,误会,wùhuì,Misunderstanding
460,西红柿,xīhóngshì,Tomato
461,吸引,xīyǐn,Attract
462,咸,xián,salty
463,现金,xiànjīn,cash
464,羡慕,xiànmù,Envy
465,香,xiāng,fragrant
466,相反,xiāngfǎn,Contrary
467,相同,xiāngtóng,identical
468,详细,xiángxì,detailed
469,响,xiǎng,ring
470,橡皮,xiàngpí,rubber
471,消息,xiāoxi,message
472,小吃,xiǎochī,snack
473,小伙子,xiǎohuǒzi,Young fellow
474,小说,xiǎoshuō,Novel
475,笑话,xiàohua,joke
476,效果,xiàoguǒ,Effect
477,辛苦,xīnkǔ,hard
478,心情,xīnqíng,mood
479,信封,xìnfēng,envelope
480,信息,xìnxī,information
481,信心,xìnxīn,confidence
482,兴奋,xīngfèn,Excitement
483,行,xíng,That’s ok
484,醒,xǐng,wake up
485,性别,xìngbié,Gender
486,性格,xìnggé,character
487,幸福,xìngfú,happiness
488,修理,xiūlǐ,repair
489,许多,xǔduō,many
490,学期,xuéqī,Semester
491,压力,yālì,pressure
492,牙膏,yágāo,toothpaste
493,亚洲,yàzhōu,Asia
494,呀,ya,ah
495,盐,yán,salt
496,严格,yángé,strict
497,严重,yánzhòng,serious
498,研究,yánjiū,research
499,演出,yǎnchū,show
500,演员,yǎnyuán,"performer, actor"
501,眼镜,yǎnjìng,glasses
502,阳光,yángguāng,Sunshine
503,养成,yǎngchéng,Cultivate
504,样子,yàngzi,A look
505,邀请,yāoqǐng,Invitation
506,要是,yàoshi,If
507,钥匙,yàoshi,Key
508,也许,yěxǔ,perhaps
509,页,yè,page
510,叶子,yèzi,Leaf
511,一切,yíqiè,everything
512,以,yǐ,with
513,以为,yǐwéi,Think
514,意见,yìjiàn,Opinion
515,艺术,yìshù,Art
516,因此,yīncǐ,therefore
517,引起,yǐnqǐ,cause
518,印象,yìnxiàng,impression
519,应聘,yìngpìn,Apply for
520,赢,yíng,win
521,勇敢,yǒnggǎn,Brave
522,永远,yǒngyuǎn,forever
523,优点,yōudiǎn,Advantage
524,优秀,yōuxiù,excellent
525,幽默,yōumò,Humor
526,由,yóu,from
527,由于,yóuyú,Because
528,邮局,yóujú,Post Office
529,尤其,yóuqí,especially
530,有趣,yǒuqù,interesting
531,友好,yǒuhǎo,friendly
532,友谊,yǒuyì,friendship
533,愉快,yúkuài,Cheerful
534,于是,yúshì,Therefore
535,与,yǔ,and
536,语法,yǔfǎ,grammar
537,语言,yǔyán,language
538,羽毛球,yǔmáoqiú,Badminton
539,预习,yùxí,Preview
540,原来,yuánlái,Original
541,原谅,yuánliàng,Forgive
542,原因,yuányīn,Reason
543,约会,yuēhuì,Date
544,阅读,yuèdú,Read
545,云,yún,cloud
546,允许,yǔnxǔ,allow
547,杂志,zázhì,Magazine
548,咱们,zánmen,We
549,暂时,zànshí,temporary
550,脏,zāng,dirty
551,责任,zérèn,responsibility
552,增加,zēngjiā,increase
553,占线,zhànxiàn,(line) Busy
554,招聘,zhāopìn,recruit
555,照,zhào,reflect
556,真正,zhēnzhèng,real
557,整理,zhěnglǐ,Arrangement
558,正常,zhèngcháng,normal
559,正好,zhènghǎo,Just right
560,正确,zhèngquè,Correct
561,正式,zhèngshì,formal
562,证明,zhèngmíng,Prove
563,之,zhī,of
564,支持,zhīchí,Support
565,知识,zhīshi,knowledge
566,值得,zhídé,Worth
567,直接,zhíjiē,direct
568,植物,zhíwù,"Botany, plant"
569,职业,zhíyè,Occupation
570,指,zhǐ,"finger, to point"
571,只好,zhǐhǎo,have to
572,只要,zhǐyào,as long as
573,质量,zhìliàng,quality
574,至少,zhìshǎo,at least
575,重,zhòng,heavy
576,重点,zhòngdiǎn,A key
577,重视,zhòngshì,"importance, attach importance to"
578,周围,zhōuwéi,around
579,主意,zhǔyi,idea
580,祝贺,zhùhè,Congratulate
581,著名,zhùmíng,famous
582,专门,zhuānmén,specialized
583,专业,zhuānyè,major
584,转,zhuàn,turn
585,赚,zhuàn,earn
586,准确,zhǔnquè,accuracy
587,准时,zhǔnshí,on time
588,仔细,zǐxì,careful
589,自然,zìrán,natural
590,自信,zìxìn,self-confidence
591,总结,zǒngjié,summary
592,租,zū,rent
593,最好,zuìhǎo,Best
594,尊重,zūnzhòng,respect
595,左右,zuǒyòu,About
596,座,zuò,Seat
597,作家,zuòjiā,writer
598,座位,zuòwèi,seat
599,作用,zuòyòng,Effect
600,作者,zuòzhě,author
