No,Chinese,Pinyin,English
203,瘦,shòu,thin
204,舒服,shūfu,comfortable
205,叔叔,shūshu,uncle
206,树,shù,tree
207,数学,shùxué,Mathematics
208,刷牙,shuāyá,Brush one’s teeth
209,双,shuāng,"double, pair"
210,水平,shuǐpíng,level
211,司机,sījī,Driver
212,太阳,tàiyáng,sun
213,特别,tèbié,Especially
214,疼,téng,hurt
215,提高,tígāo,increase
216,体育,tǐyù,Sports
217,甜,tián,sweet
218,条,tiáo,strip
219,同事,tóngshì,Colleague
220,同意,tóngyì,Agree
221,头发,tóufa,Hair
222,突然,tūrán,suddenly
223,图书馆,túshūguǎn,Library
224,腿,tuǐ,leg
225,完成,wánchéng,complete
226,碗,wǎn,bowl
227,万,wàn,ten thousand
228,忘记,wàngjì,forget
229,为,wèi,for
230,为了,wèile,in order to
231,位,wèi,position
232,文化,wénhuà,Culture
233,西,xī,west
234,习惯,xíguàn,Habit
235,洗手间,xǐshǒujiān,Restroom
236,洗澡,xǐzǎo,Take a shower
237,夏,xià,summer
238,先,xiān,first
239,香蕉,xiāngjiāo,Banana
240,相信,xiāngxìn,believe
241,向,xiàng,towards
242,像,xiàng,image
243,小心,xiǎoxīn,watch out
244,校长,xiàozhǎng,Principal
245,新闻,xīnwén,news
246,新鲜,xīnxiān,fresh
247,信用卡,xìnyòngkǎ,Credit card
248,行李箱,xínglixiāng,Trunk
249,熊猫,xióngmāo,Panda
250,需要,xūyào,Need
251,选择,xuǎnzé,Choice
252,要求,yāoqiú,Requirement
253,爷爷,yéye,grandpa
254,一定,yídìng,Certain
255,一共,yígòng,Altogether
256,一会儿,yíhuìr,a while
257,一样,yíyàng,equally
258,以前,yǐqián,before
259,一般,yìbān,commonly
260,一边,yìbiān,One side
261,一直,yìzhí,always
262,音乐,yīnyuè,Music
263,银行,yínháng,Bank
264,饮料,yǐnliào,Drinks
265,应该,yīnggāi,Should
266,影响,yǐngxiǎng,Influence
267,用,yòng,use
268,游戏,yóuxì,Game
269,有名,yǒumíng,Famous
270,又,yòu,again
271,遇到,yùdào,encounter
272,元,yuán,element; yuan
273,愿意,yuànyì,Be willing
274,月亮,yuèliang,Moon
275,越,yuè,the more
276,站,zhàn,station
277,张,zhāng,Zhang (surname)
278,长（动词）,zhǎng,grow
279,着急,zháojí,Worry
280,照顾,zhàogù,look after
281,照片,zhàopiàn,Photo
282,照相机,zhàoxiàngjī,Camera
283,只（量词）,zhī,(measure word)
284,只（副词）,zhǐ,only
285,只有……才……,zhǐyǒu…cái…,only if
286,中文,zhōngwén,Chinese
287,中间,zhōngjiān,Middle
288,终于,zhōngyú,finally
289,种,zhǒng,species
290,重要,zhòngyào,important
291,周末,zhōumò,Weekend
292,主要,zhǔyào,main
293,注意,zhùyì,Be careful
294,自己,zìjǐ,"Own, self"
295,自行车,zìxíngchē,Bicycle
296,总是,zǒngshì,always
297,嘴,zuǐ,mouth
298,最后,zuìhòu,Last
299,最近,zuìjìn,lately
300,作业,zuòyè,homework
