No,Chinese,Pinyin,English
258,乘,chéng,ride
259,承办,chéngbàn,Undertake
260,承包,chéngbāo,Contract
261,承诺,chéngnuò,Promise
262,城堡,chéngbǎo,Castle
263,成本,chéngběn,cost
264,成交,chéngjiāo,Deal
265,成天,chéngtiān,All day long
266,成效,chéngxiào,"Results, effects"
267,成心,chéngxīn,on purpose
268,成员,chéngyuán,member
269,惩罚,chéngfá,punish
270,诚挚,chéngzhì,sincere; cordial; earnest
271,澄清,chéngqīng,clarify
272,呈现,chéngxiàn,Present
273,秤,chèng,balance
274,吃苦,chīkǔ,Hardship
275,吃力,chīlì,Sweaty
276,迟钝,chídùn,bluntness
277,迟缓,chíhuǎn,tardy; sluggish
278,迟疑,chíyí,Hesitation
279,持久,chíjiǔ,Lasting
280,赤道,chìdào,equator
281,赤字,chìzì,deficit; red ink
282,冲动,chōngdòng,impulse
283,冲击,chōngjī,To attack
284,冲突,chōngtū,conflict
285,充当,chōngdāng,act as; serve as
286,充沛,chōngpèi,Abundant
287,充实,chōngshí,Enrich
288,充足,chōngzú,adequate
289,崇拜,chóngbài,worship
290,崇高,chónggāo,lofty
291,崇敬,chóngjìng,respect; revere
292,重叠,chóngdié,overlap
293,筹备,chóubèi,arrange; prepare
294,稠密,chóumì,thick; dense
295,丑恶,chǒu’è,ugly; filthy
296,出路,chūlù,way out
297,出卖,chūmài,sell
298,出身,chūshēn,Birth
299,出神,chūshén,Trance
300,出息,chūxi,Good
301,初步,chūbù,preliminary
302,除,chú,except
303,储备,chǔbèi,store
304,储存,chǔcún,Storage
305,储蓄,chǔxù,save up; bank
306,处分,chǔfèn,prescription
307,处境,chǔjìng,plight; situation
308,处置,chǔzhì,treat; dispose
309,触犯,chùfàn,offend; violate
310,穿越,chuānyuè,Pass through
311,川流不息,chuānliúbùxī,flowing up in an endless stream
312,船舶,chuánbó,watercraft; ships
313,传达,chuándá,Convey
314,传单,chuándān,fly sheet; leaflet
315,传授,chuánshòu,initiate; teach
316,喘气,chuǎnqì,Panting
317,串,chuàn,"strand, cluster"
318,床单,chuángdān,Sheet
319,创立,chuànglì,Found
320,创新,chuàngxīn,innovate
321,创业,chuàngyè,carve out
322,创作,chuàngzuò,A literary creation
323,吹牛,chuīniú,brag; boast
324,吹捧,chuīpěng,flatter; puff
325,炊烟,chuīyān,cooking smoke
326,锤,chuí,hammer
327,垂直,chuízhí,vertical
328,纯粹,chúncuì,pure
329,纯洁,chúnjié,pure
330,磁带,cídài,Magnetic tape
331,慈祥,cíxiáng,Kindly
332,慈善,císhàn,charity
333,雌雄,cíxióng,male and female
334,刺,cì,thorn
335,次品,cìpǐn,defective goods
336,次序,cìxù,order; sequence
337,伺候,cìhou,Wait
338,丛,cóng,cluster
339,从容,cóngróng,take one’s time; calm and unhurried
340,凑合,còuhuo,gather together
341,粗鲁,cūlǔ,rude
342,窜,cuàn,Channeling
343,摧残,cuīcán,devastate; wreck
344,脆弱,cuìruò,fragile
345,搓,cuō,Rub
346,磋商,cuōshāng,negotiate
347,挫折,cuòzhé,frustration
348,搭,dā,"to match, to take"
349,搭档,dādàng,partner
350,搭配,dāpèi,arrange; match
351,答辩,dábiàn,reply; answer
352,答复,dáfù,Reply
353,达成,dáchéng,Reach
354,打包,dǎbāo,Pack
355,打官司,dǎguānsi,To engage in a lawsuit
356,打击,dǎjī,strike
357,打架,dǎjià,Fight
358,打量,dǎliang,look sb. up and down
359,打猎,dǎliè,Go hunting
360,打仗,dǎzhàng,To war
361,大不了,dàbuliǎo,Big deal
362,大臣,dàchén,Minister
363,大伙儿,dàhuǒr,you all; everybody
364,大肆,dàsì,Wantonly
365,大体,dàtǐ,general
366,大意,dàyi,Careless
367,大致,dàzhì,roughly
368,歹徒,dǎitú,gangster; mobster
369,带领,dàilǐng,lead
370,代价,dàijià,cost
371,代理,dàilǐ,agent
372,逮捕,dàibǔ,Arrest
373,怠慢,dàimàn,cold-shoulder
374,担保,dānbǎo,assure; hypothecate
375,胆怯,dǎnqiè,"coward, fear"
376,淡季,dànjì,Low Season
377,淡水,dànshuǐ,fresh water
378,蛋白质,dànbáizhì,Protein
379,诞辰,dànchén,Birthday
380,诞生,dànshēng,Be born
381,当场,dāngchǎng,On the spot
382,当初,dāngchū,Original
383,当代,dāngdài,Contemporary
384,当面,dāngmiàn,Face to face
385,当前,dāngqián,current
386,当事人,dāngshìrén,client
387,当务之急,dāngwùzhījí,A pressing matter of the moment
388,当选,dāngxuǎn,be elected; come in
389,党,dǎng,party
390,档案,dàng’àn,archives
391,档次,dàngcì,grade
392,倒闭,dǎobì,Collapse
393,导弹,dǎodàn,Missile
394,导航,dǎoháng,navigate
395,导向,dǎoxiàng,guide
396,捣乱,dǎoluàn,Trouble
397,稻谷,dàogǔ,Unhusked rice
398,盗窃,dàoqiè,steal; pilfer
399,得不偿失,débùchángshī,be not worth the candle; get more kicks than halfpence
400,得力,délì,right-hand
401,得天独厚,détiāndúhòu,Be richly endowed by nature
402,得罪,dézuì,Offend
403,蹬,dēng,thrust
404,灯笼,dēnglong,lantern
405,登陆,dēnglù,disembark; land
406,登录,dēnglù,Sign in
407,等候,děnghòu,Wait
408,等级,děngjí,grade; rank
409,瞪,dèng,Stare
410,堤坝,dībà,Dam
411,敌视,díshì,be hostile to; antagonize
412,抵达,dǐdá,Arrive
413,抵抗,dǐkàng,resistance
414,抵制,dǐzhì,resist; reject; repel
415,递增,dìzēng,Increasing
416,地步,dìbù,condition; plight; situation; state; extent
417,地势,dìshì,Terrain
418,地质,dìzhì,geology
419,颠簸,diānbǒ,bump; welter
420,颠倒,diāndǎo,Upside down
421,点缀,diǎnzhuì,Embellishment
422,典礼,diǎnlǐ,Ceremony
423,典型,diǎnxíng,typical
424,垫,diàn,pad
425,电源,diànyuán,power supply
426,奠定,diàndìng,Establish
427,惦记,diànjì,Miss
428,叼,diāo,hold in mouth
429,雕刻,diāokè,carving
430,雕塑,diāosù,Sculpture
431,吊,diào,crane
432,调动,diàodòng,transfer
433,跌,diē,fall
434,丁,dīng,
435,盯,dīng,stare at
436,叮嘱,dīngzhǔ,urge again and again; exhort; warn
437,定期,dìngqī,regular
438,定义,dìngyì,Definition
439,丢人,diūrén,lose face
440,丢三落四,diūsānlàsì,Miss or lose this and that
441,东道主,dōngdàozhǔ,Host
442,东张西望,dōngzhāngxīwàng,Look around
443,董事长,dǒngshìzhǎng,Chairman
444,栋,dòng,Building (measure word)
445,冻结,dòngjié,Frozen
446,动荡,dòngdàng,turbulence
447,动机,dòngjī,motivation
448,动静,dòngjing,Movement
449,动力,dònglì,"power, motivation"
450,动脉,dòngmài,artery
451,动身,dòngshēn,Leave
452,动手,dòngshǒu,DIY
453,动态,dòngtài,dynamic
454,动员,dòngyuán,mobilization
455,兜,dōu,Pocket
456,陡峭,dǒuqiào,Steep
457,斗争,dòuzhēng,Struggle
458,督促,dūcù,supervise and urge
459,独裁,dúcái,autocracy
460,毒品,dúpǐn,narcotics
461,赌博,dǔbó,gambling
462,堵塞,dǔsè,blocking
463,杜绝,dùjué,Stop， ban
464,端,duān,end
465,端午节,uānwǔjié,The Dragon Boat Festival
466,端正,duānzhèng,correct
467,短促,duǎncù,very brief
468,断定,duàndìng,be sure; figure out
469,断绝,duànjué,be sure; figure out
470,堆积,duījī,Accumulation
471,对策,duìcè,countermeasure
472,对称,duìchèn,symmetrical
473,对付,duìfu,deal with
474,对抗,duìkàng,Combat
475,对立,duìlì,Opposition
476,对联,duìlián,Antithetical couplet
477,对应,duìyìng,Corresponding
478,对照,duìzhào,compare; collate
479,兑现,duìxiàn,Cash
480,队伍,duìwu,Ranks
481,顿时,dùnshí,Suddenly
482,多元化,duōyuánhuà,Diversification
483,哆嗦,duōsuo,Shiver
484,堕落,duòluò,Degenerate
485,额外,éwài,extra; additional
486,恶心,ěxin,disgusting
487,恶化,èhuà,deteriorate
488,遏制,èzhì,contain
489,恩怨,ēnyuàn,Resentment
490,而已,éryǐ,Nothing more
491,二氧化碳,èryǎnghuàtàn,Carbon dioxide
492,发布,fābù,Release
493,发财,fācái,make a fortune; make a pile
494,发呆,fādāi,In a daze
495,发动,fādòng,Launch
496,发觉,fājué,find
497,发射,fāshè,launch
498,发誓,fāshì,swear
499,发行,fāxíng,issue
500,发炎,fāyán,inflammation
501,发扬,fāyáng,carry forward
502,发育,fāyù,"Development, growth"
503,法人,fǎrén,juridical person
504,番,fān,Some
505,繁华,fánhuá,Bustling
506,繁忙,fánmáng,busy
507,繁体字,fántǐzì,the traditional Chinese character
508,繁殖,fánzhí,Reproduction
509,凡是,fánshì,All
510,反驳,fǎnbó,refute
511,反常,fǎncháng,abnormal
512,反感,fǎngǎn,Disgusted
513,反抗,fǎnkàng,Resistance
514,反馈,fǎnkuì,feedback
515,反面,fǎnmiàn,The other side
516,反射,fǎnshè,echo; reflect
517,反思,fǎnsī,Reflect
518,反问,fǎnwèn,rhetorical question
519,反之,fǎnzhī,on the contrary; whereas
520,范畴,fànchóu,category
521,泛滥,fànlàn,Flood
522,贩卖,fànmài,Trafficking
523,方位,fāngwèi,Position
524,方言,fāngyán,dialect
525,方圆,fāngyuán,circumference
526,方针,fāngzhēn,policy
527,防守,fángshǒu,Defense
528,防御,fángyù,defense
529,防止,fángzhǐ,Prevent
530,防治,fángzhì,Prevention and cure
531,访问,fǎngwèn,Visit
532,纺织,fǎngzhī,Spin
533,放大,fàngdà,enlarge
534,放射,fàngshè,radiation
535,非法,fēifǎ,illegal
536,飞禽走兽,fēiqínzǒushòu,Birds and animals
537,飞翔,fēixiáng,flight
538,飞跃,fēiyuè,leap
539,肥沃,féiwò,fertile
540,诽谤,fěibàng,slander; defame
541,肺,fèi,lung
542,废除,fèichú,Abolish
543,废墟,fèixū,Ruins
544,废寝忘食,fèiqǐnwàngshí,forget all about sleeping and eating
545,沸腾,fèiténg,boiling
546,分辨,fēnbiàn,Distinguish
547,分寸,fēncùn,Sense of propriety
548,分红,fēnhóng,bonus
549,分解,fēnjiě,decompose
550,分裂,fēnliè,division
551,分泌,fēnmì,secretion
552,分明,fēnmíng,clear
553,分歧,fēnqí,divergence
554,分散,fēnsàn,Dispersed
555,吩咐,fēnfù,Tell
556,坟墓,fénmù,Grave
557,粉末,fěnmò,powder
558,粉色,fěnsè,Pink
559,粉碎,fěnsuì,smash
560,分量,fènliàng,Weight
561,愤怒,fènnù,anger
562,风暴,fēngbào,Storm
563,风度,fēngdù,Manner
564,风光,fēngguāng,Scenery
565,风气,fēngqì,atmosphere
566,风趣,fēngqù,Funny
567,风土人情,fēngtǔrénqíng,Local customs and practices
568,风味,fēngwèi,flavor
569,封闭,fēngbì,close
570,封建,fēngjiàn,Feudal
571,封锁,fēngsuǒ,blockade
572,丰满,fēngmǎn,Plump
573,丰盛,fēngshèng,rich; sumptuous
574,丰收,fēngshōu,Have bumper harvest
575,锋利,fēnglì,sharp
576,逢,féng,meet; come upon
577,奉献,fèngxiàn,dedicate
578,否决,fǒujué,veto; reject; overrule
579,夫妇,fūfù,couple
580,夫人,fūrén,Madam
581,敷衍,fūyǎn,play at
582,幅度,fúdù,range; extent
583,服从,fúcóng,Obey
584,服气,fúqì,Be convinced
585,符号,fúhào,Symbol
586,福利,fúlì,welfare
587,福气,fúqi,good luck; felicity
588,俘虏,fúlǔ,captive
589,辐射,fúshè,radiation
590,腐败,fǔbài,corrupt
591,腐烂,fǔlàn,Decay
592,腐蚀,fǔshí,corrosion
593,腐朽,fǔxiǔ,Decadent
594,辅助,fǔzhù,auxiliary
595,抚养,fǔyǎng,Raise
596,抚摸,fǔmō,stroke
597,俯视,fǔshì,look down
598,富裕,fùyù,Affluent
599,副,fù,Vice-
600,负担,fùdān,burden
601,覆盖,fùgài,overlay; cover with
602,附和,fùhè,chime in with; come to heel
603,附件,fùjiàn,Enclosure
604,附属,fùshǔ,attach appertain
605,复活,fùhuó,Resurrection
606,复兴,fùxīng,Revival
607,腹泻,fùxiè,diarrhea
608,赋予,fùyǔ,give
609,改良,gǎiliáng,Improvement
610,盖章,gàizhāng,Seal
611,钙,gài,calcium
612,干旱,gānhàn,drought
613,干扰,gānrǎo,interfere
614,干涉,gānshè,interference
615,干预,gānyù,intervene
616,尴尬,gāngà,awkward
617,感慨,gǎnkǎi,Feeling
618,感染,gǎnrǎn,Infected
619,干劲,gànjìn,Drive
620,纲领,gānglǐng,Programme
621,港口,gǎngkǒu,Port
622,港湾,gǎngwān,Harbour
623,岗位,gǎngwèi,post
624,杠杆,gànggǎn,lever
625,高超,gāochāo,outstanding; superb; excellent
626,高潮,gāocháo,climax
627,高峰,gāofēng,peak
628,高明,gāomíng,brilliant; bright
629,高尚,gāoshàng,noble
630,高涨,gāozhǎng,Upsurge
631,稿件,gǎojiàn,manuscript
632,告辞,gàocí,Take leave
633,告诫,gàojiè,warn; caution
634,割,gē,cut
635,搁,gē,Put aside
636,疙瘩,gēda,lump; pimple
637,歌颂,gēsòng,Sing
638,鸽子,gēzi,Dove
639,隔阂,géhé,Estrangement
640,隔离,gélí,quarantine
641,格局,géjú,situation
642,格式,géshi,format
643,革命,gémìng,revolution
644,个体,gètǐ,individual
645,各抒己见,gèshūjǐjiàn,Each airs his own views
646,根深蒂固,gēnshēndìgù,being deeply rooted; in grain
647,根源,gēnyuán,root
648,跟前,gēnqián,In front of
649,跟随,gēnsuí,follow
650,跟踪,gēnzōng,run after; tail
651,耕地,gēngdì,Cultivated land
652,更新,gēngxīn,renovate; renew
653,更正,gēngzhèng,correct
654,公安局,gōng’ānjú,Bureau of public security
655,公道,gōngdao,fair
656,公告,gōnggào,Notice
657,公关,gōngguān,public relations
658,公民,gōngmín,citizen
659,公然,gōngrán,to the teeth; under one’s nose
660,公认,gōngrèn,Accepted
661,公式,gōngshì,formula
662,公务,gōngwù,Official business
663,公正,gōngzhèng,fair
664,公证,gōngzhèng,Notarization
665,供不应求,gōngbúyìngqiú,Demand exceeds supply
666,供给,gōngjǐ,supply
667,工艺品,gōngyìpǐn,Arts and Crafts
668,宫殿,gōngdiàn,Palace
669,功劳,gōngláo,credit
670,功效,gōngxiào,Effect
671,攻击,gōngjī,attack
672,攻克,gōngkè,Conquer
673,恭敬,gōngjìng,dutiful; respectful
674,巩固,gǒnggù,consolidate
675,共和国,gònghéguó,Republic
676,共计,gòngjì,count up to; sum to
677,共鸣,gòngmíng,resonance
678,勾结,gōujié,Collusion
679,钩子,gōuzi,hook
680,构思,gòusī,Design
681,孤独,gūdú,lonely
682,孤立,gūlì,isolated
683,辜负,gūfù,Live up to
684,姑且,gūqiě,Tentatively
685,古董,gǔdǒng,antique
686,古怪,gǔguài,cranky; wacky
687,股东,gǔdōng,stockholder
688,股份,gǔfèn,Shares
689,鼓动,gǔdòng,Agitation
690,骨干,gǔgàn,backbone
691,固然,gùrán,Of course
692,固体,gùtǐ,solid
693,固有,gùyǒu,Inherent
694,固执,gùzhi,stubborn
695,顾虑,gùlǜ,misgive; misgiving
696,顾问,gùwèn,adviser
697,故乡,gùxiāng,Hometown
698,故障,gùzhàng,fault
699,雇佣,gùyōng,hire
700,拐杖,guǎizhàng,cane
701,关怀,guānhuái,Care
702,关照,guānzhào,Take care of
703,官方,guānfāng,by the government official
704,观光,guānguāng,Sightseeing
705,管辖,guǎnxiá,dominate; rule
706,罐,guàn,pot
707,贯彻,guànchè,implement
708,灌溉,guàngài,irrigation
709,惯例,guànlì,convention
710,光彩,guāngcǎi,Brilliance
711,光辉,guānghuī,Glory
712,光芒,guāngmáng,Shine
713,光荣,guāngróng,glory
714,广阔,guǎngkuò,wide
715,规范,guīfàn,criterion; rule
716,规格,guīgé,standard; format
717,规划,guīhuà,Plan
718,规章,guīzhāng,Rules
719,归根到底,guīgēndàodǐ,at all time and place
720,归还,guīhuán,return
721,轨道,guǐdào,track
722,跪,guì,kneel
723,贵族,guìzú,noble
724,棍棒,gùnbàng,club; cudgel
725,国防,guófáng,national defense
726,国务院,guówùyuàn,The State Council
727,果断,guǒduàn,decisive
728,过度,guòdù,excessive
729,过渡,guòdù,transition
730,过奖,guòjiǎng,you flatter
731,过滤,guòlǜ,filter
732,过失,guòshī,fault
733,过问,guòwèn,Ask
734,过瘾,guòyǐn,Fun
735,过于,guòyú,too; excessively
736,嗨,hāi,hi
737,海拔,hǎibá,altitude
738,海滨,hǎibīn,Seaside
739,含糊,hánhu,vague
740,含义,hányì,signification; meanings
741,寒暄,hánxuān,exchange of conventional greetings
742,罕见,hǎnjiàn,peculiar; rare
743,捍卫,hànwèi,defend; guard
744,航空,hángkōng,aviation
745,航天,hángtiān,Space flight
746,航行,hángxíng,Sail
747,行列,hángliè,Ranks
748,豪迈,háomài,Heroic
749,毫米,háomǐ,millimeter
750,毫无,háowú,nothing
751,号召,hàozhào,call
752,耗费,hàofèi,cost
753,呵,hē,Oh
754,和蔼,hé’ǎi,Kindly
755,和解,héjiě,compromise
756,和睦,hémù,harmony
757,和气,héqi,kind; polite
758,和谐,héxié,Harmonious
759,合并,hébìng,merge
760,合成,héchéng,Synthesis
761,合伙,héhuǒ,cooperate; join hands with
762,合算,hésuàn,Cost-effective
763,嘿,hēi,
764,痕迹,hénjì,mark
765,狠心,hěnxīn,cruel hearted
766,恨不得,hènbude,Hate not
767,哼,hēng,Hum
768,横,héng,harsh and unreasonable; perverse
769,哄,hōng,fool
770,烘,hōng,Bake
771,轰动,hōngdòng,make a sensation; make a stir
772,宏观,hóngguān,Macroscopic
773,宏伟,hóngwěi,grand
774,洪水,hóngshuǐ,Flood
775,喉咙,hóulóng,throat
776,吼,hǒu,Roar
777,后代,hòudài,Offspring
778,后顾之忧,hòugùzhīyōu,Any menace from the “rear
779,后勤,hòuqín,logistics
780,候选,hòuxuǎn,candidate
781,忽略,hūlüè,ignore
782,呼唤,hūhuàn,call
783,呼啸,hūxiào,Whistling
784,呼吁,hūyù,call on; appeal
785,胡乱,húluàn,Casually
786,胡须,húxū,beard
787,湖泊,húpō,lake
788,花瓣,huābàn,Petal
789,花蕾,huālěi,bud
790,华丽,huálì,design
791,华侨,huáqiáo,overseas Chinese
792,画蛇添足,huàshétiānzú,Superfluous
793,化肥,huàféi,chemical fertilizer
794,化石,huàshí,Fossil
795,化验,huàyàn,Test
796,化妆,huàzhuāng,prink; make up
797,划分,huàfēn,Divide
798,话筒,huàtǒng,Microphone
799,欢乐,huānlè,Happy
800,还原,huányuán,reduction
801,环节,huánjié,link
802,缓和,huǎnhé,To moderate
803,患者,huànzhě,Patient
804,荒凉,huāngliáng,Desolate
805,荒谬,huāngmiù,ridiculous; nonsensical
806,荒唐,huāngtáng,absurd
807,黄昏,huánghūn,Dusk
808,皇帝,huángdì,Emperor
809,皇后,huánghòu,Queen
810,晃,huǎng,shake
811,恍然大悟,huǎngrándàwù,See light suddenly
812,挥霍,huīhuò,splurge; devour
813,辉煌,huīhuáng,brilliant
814,回报,huíbào,Return
815,回避,huíbì,obviate; slide over
816,回顾,huígù,review; look back
817,回收,huíshōu,recovery
818,悔恨,huǐhèn,Regret
