No,Chinese,Pinyin,English
75,传染,chuánrǎn,contagion
76,传统,chuántǒng,tradition
77,闯,chuǎng,rush; dash
78,吹,chuī,blow
79,此外,cǐwài,in addition
80,次要,cìyào,secondary
81,匆忙,cōngmáng,hastily
82,从而,cóng’ér,thus
83,从前,cóngqián,before
84,粗糙,cūcāo,rough
85,醋,cù,vinegar
86,促使,cùshǐ,Urge
87,措施,cuòshī,Measures
88,打工,dǎgōng,Work
89,大厦,dàshà,Large building
90,大象,dàxiàng,Elephant
91,代表,dàibiǎo,representative
92,待遇,dàiyù,treatment
93,单调,dāndiào,monotonous
94,单位,dānwèi,Company
95,担任,dānrèn,To serve as
96,耽误,dānwu,delay
97,淡,dàn,light
98,倒霉,dǎoméi,fall on evil days
99,道理,dàolǐ,truth
100,登记,dēngjì,register
101,等于,děngyú,Be equal to
102,滴,dī,drop
103,敌人,dírén,Enemy
104,递,dì,Delivery
105,地毯,dìtǎn,Carpet
106,地震,dìzhèn,earthquake
107,电池,diànchí,Battery
108,顶,dǐng,top
109,冻,dòng,freeze
110,动画片,dònghuàpiàn,Cartoon
111,逗,dòu,Funny
112,独特,dútè,unique
113,度过,dùguò,Spend
114,对比,duìbǐ,Contrast
115,对待,duìdài,treat
116,对手,duìshǒu,Opponent
117,吨,dūn,ton
118,顿,dùn,Meal
119,多亏,duōkuī,thanks to
120,朵,duǒ,classifier of flower
121,发表,fābiǎo,Publish
122,发达,fādá,To develop
123,发挥,fāhuī,Develop
124,发票,fāpiào,invoice
125,发言,fāyán,give a speech
126,罚款,fákuǎn,forfeit; amerce; fine
127,法院,fǎyuàn,Court
128,繁荣,fánróng,Boom
129,反而,fǎn’ér,Instead
130,反应,fǎnyìng,reaction
131,反正,fǎnzhèng,anyway
132,范围,fànwéi,Range
133,方案,fāng’àn,programme
134,方式,fāngshì,mode
135,妨碍,fáng’ài,Hinder
136,肥皂,féizào,soap
137,分布,fēnbù,distribution
138,分手,fēnshǒu,Break up
139,风景,fēngjǐng,Scenery
140,风险,fēngxiǎn,risk
141,讽刺,fěngcì,satire
142,否认,fǒurèn,deny
143,扶,fú,hold up
144,复制,fùzhì,copy
145,改进,gǎijìn,Improvement
146,改正,gǎizhèng,correction
147,概括,gàikuò,Generalization
148,感想,gǎnxiǎng,Feel
149,赶快,gǎnkuài,hurry up
150,干活儿,gànhuór,work on a job
151,高级,gāojí,senior
152,告别,gàobié,farewell
153,隔壁,gébì,next door
154,个人,gèrén,personal
155,各自,gèzì,Each
156,根本,gēnběn,at all
157,公开,gōngkāi,open
158,公平,gōngpíng,fair
159,公寓,gōngyù,apartment
160,工厂,gōngchǎng,factory
161,工具,gōngjù,tool
162,工业,gōngyè,Industry
163,功能,gōngnéng,function
164,沟通,gōutōng,Communicate
165,姑娘,gūniang,girl
166,古代,gǔdài,Ancient
167,鼓掌,gǔzhǎng,applause
168,骨头,gǔtou,Bone
169,乖,guāi,Good behaved
170,怪不得,guàibude,No wonder
171,观察,guānchá,observation
172,观念,guānniàn,concept
173,冠军,guànjūn,Champion
174,光滑,guānghuá,smooth
175,光明,guāngmíng,light
176,广大,guǎngdà,Vast
177,规律,guīlǜ,Law
178,规则,guīzé,rule
179,滚,gǔn,rolling
180,国庆节,guóqìngjié,National Day
181,果实,guǒshí,fruit
182,过敏,guòmǐn,allergy
183,海鲜,hǎixiān,seafood
184,豪华,háohuá,luxury
185,好奇,hàoqí,Be curious
186,何必,hébì,Why
187,合法,héfǎ,legitimate
188,合理,hélǐ,reasonable
189,合同,hétong,contract
190,合作,hézuò,cooperation
191,恨,hèn,hate
192,猴子,hóuzi,Monkey
193,后背,hòubèi,back
194,忽视,hūshì,Ignore
195,壶,hú,pot
196,胡说,húshuō,Nonsense
197,糊涂,hútu,Confused
198,花生,huāshēng,peanut
199,划,huá,Rowing
200,话题,huàtí,Topic of conversation
201,怀念,huáiniàn,miss
202,怀孕,huáiyùn,become pregnant
203,慌张,huāngzhāng,flurried
204,黄金,huángjīn,gold
205,灰,huī,ash
206,灰心,huīxīn,Lose heart; be discouraged
207,婚礼,hūnlǐ,wedding
208,活跃,huóyuè,active
209,伙伴,huǒbàn,Partner
210,或许,huòxǔ,maybe; probably
211,基本,jīběn,basic
212,机器,jīqì,machine
213,及格,jígé,pass
214,集合,jíhé,aggregate
215,集中,jízhōng,focus
216,急诊,jízhěn,emergency
217,记忆,jìyì,memory
218,纪录,jìlù,Record
219,纪念,jìniàn,memorialize
220,家务,jiāwù,Housework
221,嘉宾,jiābīn,Distinguished guest
222,甲,jiǎ,nail
223,假如,jiǎrú,If
224,假装,jiǎzhuāng,pretend
225,驾驶,jiàshǐ,Drive
226,坚强,jiānqiáng,Firm
227,艰苦,jiānkǔ,hard
228,捡,jiǎn,pick up
229,简直,jiǎnzhí,simply
230,健身,jiànshēn,workout
231,建设,jiànshè,build
232,建筑,jiànzhù,Architecture
233,键盘,jiànpán,keyboard
234,讲座,jiǎngzuò,Lecture
235,酱油,jiàngyóu,soy sauce
236,浇,jiāo,pour it over
237,交换,jiāohuàn,exchange
238,交往,jiāowǎng,affiliate with
239,角度,jiǎodù,angle
240,教材,jiàocái,teaching material
241,教训,jiàoxùn,lesson
242,接待,jiēdài,Reception
243,结实,jiēshi,strong
244,节省,jiéshěng,save
245,结构,jiégòu,structure
246,结合,jiéhé,Combination
247,结论,jiélùn,conclusion
248,结账,jiézhàng,Checkout
249,届,jiè,Session
250,借口,jièkǒu,Excuse
251,戒,jiè,Quit
252,紧急,jǐnjí,urgent
253,尽快,jǐnkuài,as soon as possible
254,谨慎,jǐnshèn,cautious
255,进步,jìnbù,progress
256,近代,jìndài,Modern
257,尽量,jìnliàng,as far as possible
258,精神,jīngshén,spirit
259,经典,jīngdiǎn,classics; scriptures
260,救,jiù,save
261,舅舅,jiùjiu,uncle
262,桔子,júzi,Orange
263,具备,jùbèi,"Have, possess"
264,巨大,jùdà,huge
265,决赛,juésài,Finals
266,绝对,juéduì,Absolutely
267,军事,jūnshì,Military
268,开放,kāifàng,To open up
269,开水,kāishuǐ,Boiling water
270,砍,kǎn,cut
271,看不起,kànbuqǐ,Despise
272,可见,kějiàn,so; it`s thus clear
273,可怕,kěpà,dreadful
274,克,kè,gram
275,客观,kèguān,objective
276,控制,kòngzhì,control
277,口味,kǒuwèi,Flavor
278,夸,kuā,"boast, praise"
279,扩大,kuòdà,Expand
280,辣椒,làjiāo,"Pepper, spice"
281,烂,làn,rotten
282,劳动,láodòng,labour
283,老板,lǎobǎn,Boss
284,老鼠,lǎoshǔ,Mouse
285,姥姥,lǎolao,Grandma
286,理论,lǐlùn,theory
287,理由,lǐyóu,Reason
288,立刻,lìkè,immediately
289,力量,lìliàng,Power
290,利息,lìxī,accrual; interest
291,利用,lìyòng,utilize
292,连忙,liánmáng,Hurriedly
293,联合,liánhé,union
294,了不起,liǎobuqǐ,Amazing
295,列车,lièchē,train
296,临时,línshí,temporary
297,灵活,línghuó,flexible
298,领域,lǐngyù,field
299,流传,liúchuán,spread
300,浏览,liúlǎn,browse
301,龙,lóng,dragon
302,漏,lòu,leak
303,陆地,lùdì,land
304,录取,lùqǔ,matriculate
305,论文,lùnwén,paper
306,落后,luòhòu,"backward, fall behind"
307,骂,mà,scold
308,麦克风,màikèfēng,Microphone
309,满足,mǎnzú,satisfy
310,冒险,màoxiǎn,adventure
311,眉毛,méimao,eyebrow
312,美术,měishù,Fine Arts
313,秘密,mìmì,Secret
314,面对,miànduì,Face
315,面临,miànlín,face
316,苗条,miáotiao,slim
317,明确,míngquè,To make clear
318,明显,míngxiǎn,obvious
319,名牌,míngpái,famous brand
320,名胜古迹,míngshènggǔjì,Places of historic interest and scenic beauty
321,命令,mìnglìng,call; nominate
322,摸,mō,"feel, touch"
323,模糊,móhu,vague
324,摩托车,mótuōchē,Motorcycle
325,某,mǒu,some
326,目标,mùbiāo,target
327,目录,mùlù,Catalog
328,木头,mùtou,wood
329,哪怕,nǎpà,even if
330,难免,nánmiǎn,Unavoidable
331,脑袋,nǎodai,head
332,内科,nèikē,Internal medicine
333,嫩,nèn,"tender, delicate"
334,能干,nénggàn,capable
335,能源,néngyuán,energy
336,年代,niándài,years
337,年纪,niánjì,Age
338,宁可,nìngkě,would rather
339,牛仔裤,niúzǎikù,Jeans
340,农村,nóngcūn,countryside
341,农业,nóngyè,Agriculture
342,女士,nǚshì,Madam
343,派,pài,send
344,赔偿,péicháng,compensate for
345,培养,péiyǎng,"culture, foster"
346,配合,pèihé,Coordination
347,披,pī,drape over one`s shoulders
348,片面,piànmiàn,one-sided
349,拼音,pīnyīn,pinyin
350,平,píng,flat
351,平常,píngcháng,Usual
352,平方,píngfāng,square
353,平静,píngjìng,calm
354,评价,píngjià,evaluate
355,破坏,pòhuài,Destruction
356,期待,qīdài,expect
357,奇迹,qíjì,Miracle
358,启发,qǐfā,Inspire
359,气氛,qìfēn,atmosphere
360,汽油,qìyóu,gasoline
361,谦虚,qiānxū,Modest
362,签,qiān,Sign
363,浅,qiǎn,shallow
364,枪,qiāng,gun
365,强调,qiángdiào,Emphasize
366,抢,qiǎng,rob
367,悄悄,qiāoqiāo,quietly
368,瞧,qiáo,look
369,巧妙,qiǎomiào,clever
370,亲爱,qīn’ài,Dear
371,亲切,qīnqiè,kind
372,勤奋,qínfèn,hardworking
373,青春,qīngchūn,Youth
374,轻视,qīngshì,Despise
375,请求,qǐngqiú,request
376,球迷,qiúmí,fans
377,趋势,qūshì,trend
378,去世,qùshì,pass away
379,权力,quánlì,power
380,劝,quàn,persuade
381,缺乏,quēfá,Lack
382,确认,quèrèn,confirm
383,群,qún,group
384,燃烧,ránshāo,burning
385,绕,rào,Around
386,热爱,rè’ài,Ardently love
387,热心,rèxīn,enthusiastic
388,人才,réncái,talented people
389,人类,rénlèi,Human beings
390,人生,rénshēng,Life
391,人物,rénwù,character
392,忍不住,rěnbuzhù,Unable to bear
393,日程,rìchéng,schedule
394,日历,rìlì,calendar
395,日用品,rìyòngpǐn,Daily Necessities
396,如何,rúhé,How
397,软件,ruǎnjiàn,Software
398,洒,sǎ,sprinkle
399,嗓子,sǎngzi,throat
400,沙滩,shātān,beach
401,晒,shài,The sun
402,闪电,shǎndiàn,lightning
403,善于,shànyú,be good at
404,商品,shāngpǐn,commodity
405,商务,shāngwù,business
406,伤害,shānghài,hurt
407,舍不得,shěbude,Hate to part with or use
408,设计,shèjì,Design
409,摄影,shèyǐng,Photography
410,伸,shēn,stretch
411,深刻,shēnkè,profound
412,身份,shēnfèn,identity
413,神秘,shénmì,mysterious
414,生动,shēngdòng,vivid
415,生长,shēngzhǎng,grow
416,诗,shī,poetry
417,失眠,shīmián,insomnia
418,狮子,shīzi,Lion
419,时代,shídài,"times, epoch"
420,时髦,shímáo,Fashionable
421,时尚,shíshàng,fashion
422,实习,shíxí,Internship
423,实验,shíyàn,Experiment
424,石头,shítou,stone
425,使劲儿,shǐjìnr,exert all one’s strength
426,始终,shǐzhōng,Throughout
427,试卷,shìjuàn,test paper
428,市场,shìchǎng,market
429,事物,shìwù,Thing
430,收据,shōujù,receipt
431,手工,shǒugōng,manual
432,手术,shǒushù,Operation
433,手续,shǒuxù,procedures
434,首,shǒu,"head, chief"
435,受伤,shòushāng,Injured
436,寿命,shòumìng,Life
437,书架,shūjià,bookshelf
438,输入,shūrù,import; input
439,熟练,shúliàn,skilled
440,鼠标,shǔbiāo,mouse
441,数据,shùjù,data
442,数码,shùmǎ,Digital
443,摔倒,shuāidǎo,fall
444,双方,shuāngfāng,both sides
445,税,shuì,tax
446,说服,shuōfú,Persuade
447,丝绸,sīchóu,silk
448,思想,sīxiǎng,thought
449,似乎,sìhū,It seems that
450,随身,suíshēn,Carry on
451,碎,suì,broken
452,损失,sǔnshī,loss
453,锁,suǒ,lock
454,台阶,táijiē,Steps
455,太极拳,tàijíquán,Taiji boxing
456,逃,táo,flee
457,淘气,táoqì,naughty
458,讨价还价,tǎojiàhuánjià,bargain
459,套,tào,set
460,特色,tèsè,characteristic
461,提倡,tíchàng,promote
462,题目,tímù,subject
463,体贴,tǐtiē,Considerate
464,体验,tǐyàn,experience
465,天空,tiānkōng,sky
466,天真,tiānzhēn,naive
467,调整,tiáozhěng,adjustment
468,通常,tōngcháng,usually
469,统一,tǒngyī,Unified
470,痛快,tòngkuài,"Happy, to one`s great satisfaction"
471,偷,tōu,steal
472,投资,tóuzī,Investment
473,突出,tūchū,prominent
474,土豆,tǔdòu,Potato
475,兔子,tùzi,Rabbit
476,推辞,tuīcí,Refuse
477,推荐,tuījiàn,Recommend
478,退,tuì,retreat
479,退休,tuìxiū,retire
480,外公,wàigōng,grandpa (mother’s side)
481,完整,wánzhěng,complete
482,玩具,wánjù,Toys
483,万一,wànyī,In case
484,威胁,wēixié,threaten
485,维修,wéixiū,Repair
486,围绕,wéirào,around
487,尾巴,wěiba,tail
488,委屈,wěiqu,suffer from injustice
489,胃,wèi,stomach
490,位于,wèiyú,Be located
491,未必,wèibì,not necessarily
492,温柔,wēnróu,Tender
493,文具,wénjù,Stationery
494,文学,wénxué,literature
495,稳定,wěndìng,Stable
496,问候,wènhòu,To greet
497,卧室,wòshì,Bedroom
498,无数,wúshù,Countless
499,勿,wù,Not
500,物质,wùzhì,material
501,吸取,xīqǔ,Draw
502,系统,xìtǒng,system
503,戏剧,xìjù,drama
504,吓,xià,scare
505,夏令营,xiàlìngyíng,Summer camp
506,下载,xiàzài,download
507,显然,xiǎnrán,Obviously
508,县,xiàn,county
509,现象,xiànxiàng,phenomenon
510,香肠,xiāngcháng,sausage
511,相当,xiāngdāng,Quite
512,相似,xiāngsì,Be similar
513,想念,xiǎngniàn,miss
514,享受,xiǎngshòu,enjoy
515,项链,xiàngliàn,Necklace
516,象征,xiàngzhēng,Symbolize
517,消极,xiāojí,negative
518,消失,xiāoshī,disappear
519,小气,xiǎoqi,Mean
520,孝顺,xiàoshun,Filial piety
521,斜,xié,oblique
522,写作,xiězuò,writing
523,心理,xīnlǐ,Psychology
524,心脏,xīnzàng,heart
525,信任,xìnrèn,trust
526,行为,xíngwéi,behavior
527,形容,xíngróng,describe
528,形势,xíngshì,situation
529,形状,xíngzhuàng,shape
530,幸运,xìngyùn,lucky
531,兄弟,xiōngdì,Brother
532,虚心,xūxīn,"With an open mind, modest"
533,宣布,xuānbù,Announce
534,学术,xuéshù,learning
535,询问,xúnwèn,inquiry
536,训练,xùnliàn,training
537,押金,yājīn,deposit
538,牙齿,yáchǐ,tooth
539,宴会,yànhuì,banquet
540,痒,yǎng,itch
541,样式,yàngshì,style
542,腰,yāo,waist
543,咬,yǎo,bite
544,夜,yè,night
545,业余,yèyú,amateur
546,依然,yīrán,still
547,一旦,yídàn,once; in case
548,一致,yízhì,Agreement
549,一再,yízài,repeatedly
550,移民,yímín,immigrant
551,疑问,yíwèn,Doubt
552,以来,yǐlái,Since
553,意外,yìwài,Accident
554,议论,yìlùn,Discussion
555,义务,yìwù,obligation
556,因素,yīnsù,Factor
557,英俊,yīngjùn,Handsome and spirited
558,营养,yíngyǎng,Nutrition
559,硬,yìng,hard
560,应付,yìngfu,cope with
561,应用,yìngyòng,application
562,拥挤,yōngjǐ,Crowded
563,勇气,yǒngqì,courage
564,用功,yònggōng,Diligent
565,优惠,yōuhuì,preferential; favorable
566,优势,yōushì,advantage
567,悠久,yōujiǔ,long
568,油炸,yóuzhá,Fried
569,有利,yǒulì,"favourable, beneficial"
570,娱乐,yúlè,entertainment
571,预报,yùbào,prediction
572,预防,yùfáng,Prevention
573,圆,yuán,circular
574,元旦,uándàn,New year’s Day
575,员工,yuángōng,employee
576,愿望,yuànwàng,"desire, wish"
577,晕,yūn,faint
578,运气,yùnqi,luck
579,运用,yùnyòng,Application
580,灾害,zāihài,disaster
581,在乎,zàihu,care about
582,再三,zàisān,repeatedly
583,赞成,zànchéng,Agreement
584,糟糕,zāogāo,Too bad
585,造成,zàochéng,cause
586,责备,zébèi,Reproach
587,窄,zhǎi,narrow
588,展开,zhǎnkāi,Open
589,掌握,zhǎngwò,master
590,账户,zhànghù,account
591,珍惜,zhēnxī,cherish
592,阵,zhèn,front
593,睁,zhēng,open (eyes)
594,争取,zhēngqǔ,strive for
595,整个,zhěnggè,Whole
596,整齐,zhěngqí,neat
597,正,zhèng,just
598,政府,zhèngfǔ,government
599,证件,zhèngjiàn,Certificates
600,支,zhī,branch (measure word)
601,支票,zhīpiào,Check
602,指导,zhǐdǎo,guidance
603,制定,zhìdìng,Formulate
604,制造,zhìzào,Manufacture
605,智慧,zhìhuì,wisdom
606,秩序,zhìxù,order
607,中介,zhōngjiè,intermediary
608,中旬,zhōngxún,Mid
609,周到,zhōudào,thoughtful
610,逐步,zhúbù,gradually
611,竹子,zhúzi,Bamboo
612,主持,zhǔchí,Host
613,主观,zhǔguān,subjective
614,主题,zhǔtí,theme
615,主任,zhǔrèn,Headmaster
616,抓,zhuā,grab
617,专家,zhuānjiā,expert
618,专心,zhuānxīn,Attentively
619,转告,zhuǎngào,"Tell, transmit"
620,装,zhuāng,pretend
621,装修,zhuāngxiū,decorate house
622,状况,zhuàngkuàng,status
623,追,zhuī,run after
624,资格,zīgé,Qualifications
625,资料,zīliào,data
626,姿势,zīshì,posture
627,紫,zǐ,purple
628,字幕,zìmù,Subtitle
629,自动,zìdòng,automatic
630,自由,zìyóu,free
631,综合,zōnghé,comprehensive
632,总共,zǒnggòng,In total
633,总理,zǒnglǐ,prime minister
634,总算,zǒngsuàn,finally
635,总之,zǒngzhī,"in short, in brief"
636,组成,zǔchéng,Form
637,组织,zǔzhī,organization
638,作文,zuòwén,composition
639,哎,āi,Oh
640,爱护,àihù,Care
641,爱惜,àixī,Cherish
642,安装,ānzhuāng,install
643,暗,àn,dark
644,把握,bǎwò,grasp
645,摆,bǎi,pendulum
646,办理,bànlǐ,handle
647,傍晚,bàngwǎn,Evening
648,包裹,bāoguǒ,package
649,包括,bāokuò,Include
650,薄,báo,thin
651,宝贝,bǎobèi,baby
652,保持,bǎochí,keep
653,保险,bǎoxiǎn,Insurance
654,抱怨,bàoyuàn,Complain
655,报道,bàodào,report
656,报社,bàoshè,Newspaper office
657,背,bèi,Back
658,本质,běnzhì,essence
659,彼此,bǐcǐ,each other
660,毕竟,bìjìng,after all
661,避免,bìmiǎn,avoid
662,编辑,biānjí,edit
663,便,biàn,"then, in that case"
664,标点,biāodiǎn,punctuation
665,表明,biǎomíng,Indicate
666,病毒,bìngdú,virus
667,播放,bōfàng,play
668,脖子,bózi,neck
669,不要紧,búyàojǐn,Never mind
670,布,bù,"cloth, textile"
671,不安,bù’ān,"Uneasy, unstable"
672,不得了,bùdéliǎo,Very
673,不如,bùrú,not as good as
674,步骤,bùzhòu,step
675,采访,cǎifǎng,interview
676,彩虹,cǎihóng,Rainbow
677,参与,cānyù,participate in
678,惭愧,cánkuì,Be ashamed
679,操心,cāoxīn,Worry
680,册,cè,"volume, book"
681,测验,cèyàn,test
682,曾经,céngjīng,once
683,差距,chājù,disparity; distance
684,产品,chǎnpǐn,product
685,长途,chángtú,Long-distance
686,抄,chāo,copy
687,超级,chāojí,super
688,朝,cháo,towards
689,炒,chǎo,fry
690,吵架,chǎojià,quarrel
691,车厢,chēxiāng,carriage
692,沉默,chénmò,silent
693,称呼,chēnghu,to address
694,承认,chéngrèn,Admit
695,程度,chéngdù,degree
696,成分,chéngfèn,component
697,成果,chéngguǒ,Achievements
698,成就,chéngjiù,achievement
699,成熟,chéngshú,mature
700,成长,chéngzhǎng,Grow up
701,吃亏,chīkuī,Suffer
702,迟早,chízǎo,sooner or later
703,池塘,chítáng,Pond
704,翅膀,chìbǎng,Wing
705,充电器,chōngdiànqì,Charger
706,充满,chōngmǎn,full of
707,抽屉,chōuti,drawer
708,臭,chòu,smelly
709,出版,chūbǎn,publish
710,出色,chūsè,excellent; outstanding
711,初级,chūjí,primary
712,传播,chuánbō,spread
713,传说,chuánshuō,Legend
714,窗帘,chuānglián,Window curtains
715,创造,chuàngzào,create
716,词汇,cíhuì,vocabulary
717,辞职,cízhí,Resignation
718,刺激,cìjī,stimulate
719,从此,cóngcǐ,from then on
720,从事,cóngshì,Be engaged in
721,促进,cùjìn,Promote
722,催,cuī,"Reminder, urge"
723,存在,cúnzài,existence
724,答应,dāying,promise
725,达到,dádào,Achieve
726,打交道,dǎjiāodao,Dealing with
727,打喷嚏,dǎpēntì,Sneeze
728,打听,dǎting,Inquire
729,大方,dàfang,generous
730,大型,dàxíng,large
731,呆,dāi,stay
732,代替,dàitì,replace
733,贷款,dàikuǎn,extend credit to; provide a loan
734,单纯,dānchún,Simple
735,单独,dāndú,Alone
736,单元,dānyuán,unit
737,胆小鬼,dǎnxiǎoguǐ,Coward
738,当地,dāngdì,Local
739,当心,dāngxīn,Watch out
740,挡,dǎng,block
741,岛屿,dǎoyǔ,Islands
742,导演,dǎoyǎn,director
743,导致,dǎozhì,cause
744,到达,dàodá,Arrive
745,道德,dàodé,Morality
746,等待,děngdài,wait for
747,的确,díquè,indeed; be certain to
748,地道,dìdao,tunnel
749,地理,dìlǐ,Geography
750,地区,dìqū,region
751,地位,dìwèi,status
752,点心,diǎnxin,snack
753,电台,diàntái,radio station
754,钓,diào,Fishing
755,洞,dòng,hole
756,豆腐,dòufu,Bean curd
757,独立,dúlì,Independent
758,断,duàn,break
759,堆,duī,heap
760,对方,duìfāng,the other party
761,对象,duìxiàng,object
762,兑换,duìhuàn,exchange
763,蹲,dūn,squat
764,多余,duōyú,surplus
765,躲藏,duǒcáng,Hide oneself
766,恶劣,èliè,Adverse
767,耳环,ěrhuán,Earrings
768,发愁,fāchóu,To be worried
769,发抖,fādǒu,Tremble
770,发明,fāmíng,Invention
771,翻,fān,Turn
772,反复,fǎnfù,Repeatedly
773,反映,fǎnyìng,reflect
774,方,fāng,square
775,仿佛,fǎngfú,as if
776,非,fēi,wrong; non
777,废话,fèihuà,Crap
778,分别,fēnbié,part
779,分配,fēnpèi,distribution
780,分析,fēnxī,Analysis
781,纷纷,fēnfēn,one after another
782,奋斗,fèndòu,Struggle
783,风格,fēnggé,style
784,风俗,fēngsú,Customs
785,疯狂,fēngkuáng,Insane
786,否定,fǒudìng,negative
787,幅,fú,classifier of picture
788,服装,fúzhuāng,costume; dress
789,辅导,fǔdǎo,Coach
790,妇女,fùnǚ,Woman
791,改革,gǎigé,reform
792,改善,gǎishàn,Improve
793,盖,gài,cover
794,概念,gàiniàn,concept
795,干脆,gāncuì,simply
796,干燥,gānzào,Dry
797,感激,gǎnjī,Appreciate
798,感受,gǎnshòu,feel
799,赶紧,gǎnjǐn,Quickly
800,钢铁,gāngtiě,steel
801,高档,gāodàng,High-grade
802,搞,gǎo,get
803,格外,géwài,especially
804,个别,gèbié,individual
805,个性,gèxìng,personality
806,根,gēn,root
807,公布,gōngbù,Publish
808,公元,gōngyuán,A.D.
809,公主,gōngzhǔ,princess
810,工程师,gōngchéngshī,Engineer
811,工人,gōngrén,Worker
812,恭喜,gōngxǐ,congratulations
813,贡献,gòngxiàn,contribution
814,构成,gòuchéng,constitute
815,姑姑,gūgu,aunt
816,古典,gǔdiǎn,classical
817,鼓舞,gǔwǔ,Inspire
818,股票,gǔpiào,shares; stock
819,固定,gùdìng,fixed
820,挂号,guàhào,Register
821,拐弯,guǎiwān,Turn
822,官,guān,officer
823,关闭,guānbì,close; shut
824,观点,guāndiǎn,viewpoint
825,管子,guǎnzi,pipe
826,光临,guānglín,presence
827,光盘,guāngpán,CD
828,广场,guǎngchǎng,square
829,广泛,guǎngfàn,widely
830,规矩,guīju,Rules
831,规模,guīmó,scale
832,归纳,guīnà,Induce
833,柜台,guìtái,Counter
834,锅,guō,pot
835,国王,guówáng,king
836,果然,guǒrán,Sure enough
837,过分,guòfèn,excessive
838,过期,guòqī,Be overdue
839,哈,hā,ah
840,海关,hǎiguān,Customs
841,喊,hǎn,shout
842,行业,hángyè,industry
843,好客,hàokè,Hospitable
844,和平,hépíng,peace
845,何况,hékuàng,Not to mention
846,合影,héyǐng,Group photo
847,核心,héxīn,core
848,后果,hòuguǒ,Consequence
849,忽然,hūrán,suddenly
850,呼吸,hūxī,breathing
851,蝴蝶,húdié,Butterfly
852,胡同,hútòng,Hutong
853,华裔,huáyì,Chinese born
854,滑,huá,slippery
855,化学,huàxué,Chemistry
856,缓解,huǎnjiě,relieve
857,幻想,huànxiǎng,fantasy
858,挥,huī,Essential
859,灰尘,huīchén,dust
860,恢复,huīfù,recovery
861,汇率,huìlǜ,exchange rate
862,婚姻,hūnyīn,Marriage
863,火柴,huǒchái,Match
864,激烈,jīliè,fierce
865,肌肉,jīròu,muscle
866,极其,jíqí,extremely
867,集体,jítǐ,collective
868,急忙,jímáng,Hastily
869,记录,jìlù,Record
870,计算,jìsuàn,Calculation
871,系领带,jìlǐngdài,wear a tie
872,纪律,jìlǜ,discipline
873,寂寞,jìmò,lonely
874,家庭,jiātíng,Family
875,家乡,jiāxiāng,Hometown
876,夹子,jiāzi,Clip
877,假设,jiǎshè,in case of
878,嫁,jià,get married to
879,价值,jiàzhí,value
880,肩膀,jiānbǎng,shoulder
881,坚决,jiānjué,"firm, determined"
882,艰巨,jiānjù,arduous
883,兼职,jiānzhí,Part-time job
884,简历,jiǎnlì,resume
885,剪刀,jiǎndāo,scissors
886,建立,jiànlì,establish
887,讲究,jiǎngjiu,Pay attention to; daintily
888,交际,jiāojì,communication
889,胶水,jiāoshuǐ,glue
890,狡猾,jiǎohuá,cunning
